id_bairro,chamados_totais
,131
144,124
33,96
128,60
141,58
24,51
66,48
139,40
20,37
132,36
122,35
5,34
151,30
149,29
26,28
115,27
69,22
150,21
15,21
83,20
35,19
36,19
74,19
42,18
25,18
76,18
38,18
82,18
121,18
40,17
106,17
99,17
148,17
17,17
125,17
22,15
86,15
89,15
120,15
63,14
116,13
7,13
90,13
45,12
140,12
14,12
50,12
10,12
18,12
43,11
146,11
21,11
107,11
75,11
104,10
131,10
48,10
37,10
119,10
55,10
46,10
124,10
127,10
79,10
130,9
147,9
44,9
109,9
65,9
61,9
49,9
100,9
47,8
68,8
142,8
53,8
54,8
64,8
41,7
101,7
31,7
59,7
137,7
78,7
16,6
156,6
28,6
143,6
77,6
23,6
114,6
27,5
3,5
72,5
145,5
70,5
103,4
91,4
80,4
73,4
29,4
110,4
12,4
62,4
88,4
138,4
8,3
87,3
93,3
32,3
58,3
52,3
152,3
153,3
135,3
161,3
34,3
81,2
157,2
94,2
4,2
113,2
108,2
11,2
98,2
117,2
57,2
9,2
95,2
51,2
162,2
71,2
6,2
56,2
19,1
123,1
164,1
158,1
134,1
129,1
1,1
85,1
159,1
111,1
84,1
118,1