id_bairro,nome,chamados_totais
144,Campo Grande,124
33,Tijuca,96
128,Barra da Tijuca,60
141,Bangu,58
24,Copacabana,51
66,Engenho de Dentro,48
139,Realengo,40
20,Botafogo,37
132,Recreio dos Bandeirantes,36
122,Taquara,35
5,Centro,34
151,Guaratiba,30
149,Santa Cruz,29
26,Leblon,28
115,Jacarepaguá,27
69,Piedade,22
15,Flamengo,21
150,Sepetiba,21
83,Madureira,20
35,Maracanã,19
36,Vila Isabel,19
74,Vila da Penha,19
25,Ipanema,18
38,Grajaú,18
42,Olaria,18
76,Irajá,18
82,Cascadura,18
121,Pechincha,18
17,Laranjeiras,17
40,Bonsucesso,17
106,Guadalupe,17
99,Jardim Guanabara,17
125,Vila Valqueire,17
148,Paciência,17
22,Urca,15
86,Rocha Miranda,15
89,Bento Ribeiro,15
120,Freguesia (Jacarepaguá),15
63,Méier,14
7,Rio Comprido,13
90,Marechal Hermes,13
116,Anil,13
10,São Cristóvão,12
14,Santa Teresa,12
18,Catete,12
50,Higienópolis,12
45,Brás de Pina,12
140,Padre Miguel,12
21,Humaitá,11
75,Vista Alegre,11
43,Penha,11
107,Anchieta,11
146,Inhoaíba,11
37,Andaraí,10
79,Quintino Bocaiúva,10
55,Engenho da Rainha,10
48,Vigário Geral,10
46,Cordovil,10
104,Galeão,10
124,Praça Seca,10
119,Curicica,10
127,Itanhangá,10
131,Vargem Grande,10
61,Engenho Novo,9
65,Cachambi,9
44,Penha Circular,9
49,Jardim América,9
109,Ricardo de Albuquerque,9
100,Jardim Carioca,9
130,Vargem Pequena,9
147,Cosmos,9
68,Encantado,8
64,Todos os Santos,8
53,Del Castilho,8
54,Inhaúma,8
47,Parada de Lucas,8
142,Senador Camará,8
31,São Conrado,7
41,Ramos,7
59,Riachuelo,7
78,Campinho,7
101,Tauá,7
137,Jardim Sulacap,7
16,Glória,6
23,Leme,6
28,Jardim Botânico,6
77,Colégio,6
156,Complexo do Alemão,6
114,Pavuna,6
143,Santíssimo,6
3,Santo Cristo,5
27,Lagoa,5
70,Abolição,5
72,Vila Kosmos,5
145,Senador Vasconcelos,5
12,Benfica,4
29,Gávea,4
62,Lins de Vasconcelos,4
73,Vicente de Carvalho,4
80,Cavalcanti,4
88,Osvaldo Cruz,4
110,Coelho Neto,4
103,Portuguesa,4
91,Ribeira,4
138,Magalhães Bastos,4
161,Lapa,3
8,Cidade Nova,3
34,Alto da Boa Vista,3
32,Praça da Bandeira,3
58,Rocha,3
87,Honório Gurgel,3
52,Maria da Graça,3
93,Cacuia,3
135,Vila Militar,3
152,Barra de Guaratiba,3
153,Pedra de Guaratiba,3
4,Caju,2
9,Estácio,2
6,Catumbi,2
11,Mangueira,2
157,Maré,2
71,Pilares,2
57,São Francisco Xavier,2
51,Jacaré,2
81,Engenheiro Leal,2
56,Tomás Coelho,2
108,Parque Anchieta,2
113,Costa Barros,2
95,Praia da Bandeira,2
94,Pitangueiras,2
98,Freguesia (Ilha),2
117,Gardênia Azul,2
162,Vila Kennedy,2
1,Saúde,1
158,Vasco da Gama,1
19,Cosme Velho,1
85,Turiaçú,1
84,Vaz Lobo,1
111,Acari,1
159,Parque Colúmbia,1
123,Tanque,1
118,Cidade de Deus,1
129,Camorim,1
134,Deodoro,1
164,Ilha de Guaratiba,1