evento_id,evento,data_inicial,data_final,data_chamado,total_chamados
1,Rock in Rio,2022-09-02,2022-09-04,2022-09-02,114
1,Rock in Rio,2022-09-02,2022-09-04,2022-09-03,133
1,Rock in Rio,2022-09-02,2022-09-04,2022-09-04,168
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-08,94
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-09,149
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-10,143
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-11,183
3,Réveillon,2022-12-30,2023-01-01,2022-12-30,54
3,Réveillon,2022-12-30,2023-01-01,2022-12-31,40
3,Réveillon,2022-12-30,2023-01-01,2023-01-01,65
4,Carnaval,2023-02-18,2023-02-21,2023-02-18,81
4,Carnaval,2023-02-18,2023-02-21,2023-02-19,98
4,Carnaval,2023-02-18,2023-02-21,2023-02-20,42
4,Carnaval,2023-02-18,2023-02-21,2023-02-21,46
5,Réveillon,2023-12-30,2024-01-01,2023-12-30,41
5,Réveillon,2023-12-30,2024-01-01,2023-12-31,27
5,Réveillon,2023-12-30,2024-01-01,2024-01-01,36
6,Carnaval,2024-02-10,2024-02-14,2024-02-10,43
6,Carnaval,2024-02-10,2024-02-14,2024-02-11,41
6,Carnaval,2024-02-10,2024-02-14,2024-02-12,31
6,Carnaval,2024-02-10,2024-02-14,2024-02-13,19
6,Carnaval,2024-02-10,2024-02-14,2024-02-14,22
7,Rock in Rio,2024-09-13,2024-09-15,2024-09-13,4
7,Rock in Rio,2024-09-13,2024-09-15,2024-09-14,4
7,Rock in Rio,2024-09-13,2024-09-15,2024-09-15,4
8,Rock in Rio,2024-09-19,2024-09-22,2024-09-19,2
8,Rock in Rio,2024-09-19,2024-09-22,2024-09-20,3
8,Rock in Rio,2024-09-19,2024-09-22,2024-09-21,2
8,Rock in Rio,2024-09-19,2024-09-22,2024-09-22,6
9,Réveillon,2024-12-29,2025-01-01,2024-12-29,75
9,Réveillon,2024-12-29,2025-01-01,2024-12-30,35
9,Réveillon,2024-12-29,2025-01-01,2024-12-31,32
9,Réveillon,2024-12-29,2025-01-01,2025-01-01,52